,Unnamed: 0,ID,tipo_declaracion,ID_video,duracion_video_seg,transcripcion_video,estado_verificado,estado_bloqueo_autor,vistas_video,likes_video,compartido_video,descargas_video,comentarios_video,largo_de_texto
20,20,21,1,3827012052,27,someone shared with me that neptune radiates more heat than it gets from the sun,0,1,550259.0,30528.0,6704.0,258.0,88.0,1
21,21,22,1,6940114042,20,someone shared with me that there are more stars in the universe than grains of sand on earth,0,1,510989.0,162612.0,26745.0,2507.0,1283.0,1
22,22,23,1,7986031283,52,"someone shared with me that about once a year, an asteroid the size of a car enters earth’s atmosphere",0,3,60096.0,34245.0,11345.0,219.0,77.0,1
23,23,24,1,5733649579,54,"someone shared with me that through the seasons, a reindeer’s eyes will change color",0,1,750942.0,136252.0,27119.0,2637.0,1206.0,1
24,24,25,1,2736327047,39,someone shared with me that elephants will console each other during stressful situations,0,1,353722.0,39844.0,10399.0,181.0,54.0,1
25,25,26,1,6792082620,33,someone shared with me that avocados never ripen while they are still attached to the tree,0,1,506061.0,288150.0,39351.0,2405.0,1134.0,1
26,26,27,1,2385469584,10,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,0,2,50892.0,7976.0,2903.0,125.0,78.0,1
27,27,28,1,6569363811,22,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,0,2,812056.0,329068.0,3515.0,5200.0,1108.0,1
28,28,29,1,6301836558,21,someone shared with me that people don’t sneeze in their sleep,0,1,677855.0,332569.0,97961.0,5531.0,2386.0,1
29,29,30,1,6854087993,48,"someone shared with me that at birth, baby pandas are smaller than mice",0,1,74323.0,20940.0,3678.0,274.0,63.0,1
30,30,31,1,7568304116,55,someone shared with me that the microwave oven was an accidental invention,0,1,573518.0,324003.0,125931.0,4737.0,2918.0,1
31,31,32,1,7730527836,21,someone shared with me that a blue whale's heartbeat can be heard from two miles away,0,3,376637.0,226700.0,69329.0,2060.0,278.0,1
32,32,33,1,8304906458,23,someone shared with me that the longest location name on the planet earth is 85 letters in english.,0,1,781955.0,407367.0,65029.0,4274.0,2240.0,1
33,33,34,1,7723647550,33,someone shared with me that the red-billed quelea is the most common bird on earth,0,1,822795.0,390001.0,125607.0,4012.0,2055.0,1
34,34,35,1,1260034177,10,"someone shared with me that in japan, its considered good luck when a sumo wrestler makes your baby cry",0,1,418750.0,133645.0,27821.0,2387.0,206.0,1
35,35,36,1,5407291277,12,someone shared with me that bubble wrap was originally designed to be used as wallpaper,0,1,535825.0,73157.0,1642.0,1573.0,97.0,1
36,36,37,1,6844920875,29,someone shared with me that humans have jumped further than horses in the olympics,0,1,924262.0,465230.0,37874.0,8124.0,635.0,1
37,37,38,1,9171709060,30,someone shared with me that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,0,1,489267.0,110476.0,17911.0,2585.0,90.0,1
38,38,39,1,2310167046,20,someone shared with me that jobs in the field of agriculture are the most prevalent types of jobs in the world,0,1,879368.0,572608.0,153090.0,5639.0,2542.0,1
39,39,40,1,4040057402,20,someone shared with me that the eye of an ostrich is bigger than its brain,0,1,135682.0,50881.0,7713.0,944.0,324.0,1
40,40,41,1,7334026327,25,someone shared with me that the largest pair of eyes in the world belongs to the giant squid,0,2,289935.0,3484.0,1092.0,20.0,3.0,1
41,41,42,1,5280794672,34,someone shared with me that buttermilk does not contain any butter,0,1,903941.0,409234.0,32446.0,8390.0,1390.0,1
42,42,43,1,2869029922,46,someone shared with me that one strand of hair can hold up to 3 ounces of weight,0,1,704320.0,161850.0,19294.0,3077.0,566.0,1
43,43,44,1,1421558858,5,someone shared with me that bottled water has an expiration date,0,2,609453.0,262718.0,80347.0,826.0,99.0,1
44,44,45,1,4477338445,31,someone shared with me that driving south from detroit will lead to canada,0,1,790372.0,24067.0,4167.0,434.0,236.0,1
45,45,46,1,4479658983,34,someone shared with me that sea otters are born unable to swim,0,2,750369.0,271101.0,65378.0,1482.0,426.0,1
46,46,47,1,9398305380,17,someone shared with me that apple seeds contain cyanide,0,2,630556.0,67394.0,16130.0,1197.0,720.0,0
47,47,48,1,2584492620,52,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,0,1,853104.0,45589.0,16274.0,758.0,163.0,1
48,48,49,1,6528249616,18,someone shared with me that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,0,1,636117.0,360722.0,12659.0,105.0,65.0,1
49,49,50,1,6798355648,36,someone shared with me that the largest living thing on earth is a tree,0,1,658349.0,231224.0,89272.0,5131.0,1426.0,1
50,50,51,1,9161593537,17,someone shared with me that ketchup leaves the bottle at a measured speed of 25 miles per year,0,1,472376.0,210080.0,37155.0,4600.0,2697.0,1
51,51,52,1,1291361813,53,someone shared with me that the town of calama in chile has never experienced rain,0,1,984793.0,453657.0,15329.0,521.0,30.0,1
52,52,53,1,6346301856,40,a friend shared with a friend that yellowstone national park is home to a supervolcano,0,1,301749.0,27047.0,1544.0,230.0,18.0,1
53,53,54,1,8355089614,54,a friend shared with a friend that the largest rock on earth is in australia,0,1,971357.0,111164.0,13178.0,2338.0,779.0,1
54,54,55,1,1767010474,29,a friend shared with a friend that the average british driver will spend around 99 days of their life stuck in traffic,0,1,302525.0,23738.0,673.0,314.0,118.0,1
55,55,56,1,6315458270,39,a friend shared with a friend that windshield wipers were invented in 1905,0,1,578064.0,269616.0,66922.0,6075.0,3321.0,1
56,56,57,1,5775227146,25,a friend shared with a friend that the origins of the banjo instrument begin in africa,0,1,205584.0,49255.0,5072.0,1186.0,223.0,1
57,57,58,1,7667994370,12,a friend shared with a friend that an average user spends 40% of their day on the internet,0,1,422117.0,112780.0,26052.0,1038.0,380.0,1
58,58,59,1,3024206043,49,a friend shared with a friend that half of retail purchases are now made through a mobile device,0,1,265598.0,59672.0,4952.0,815.0,400.0,1
59,59,60,1,2931436974,13,a friend shared with a friend that the most watched summer olympics event for the past 20 years has been gymnastics,0,1,307222.0,13123.0,4689.0,130.0,63.0,1
60,60,61,1,8774049123,34,a friend shared with a friend that badminton is the fastest ball and net sport in the world,0,1,962886.0,174445.0,10848.0,619.0,162.0,1
61,61,62,1,1712882974,32,"a friend shared with a friend that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",0,3,29060.0,1219.0,171.0,3.0,1.0,1
62,62,63,1,8610989068,56,a friend shared with a friend that a dog’s sense of smell is much more powerful than a human's,0,1,952372.0,10191.0,114.0,223.0,55.0,1
63,63,64,1,8244180015,37,"a friend shared with a friend that a common garden snail has over 12,000 teeth",0,1,986657.0,537842.0,199478.0,4721.0,2891.0,1
64,64,65,1,7043718296,44,a friend shared with a friend that koalas sleep up to 22 hours per day,0,1,561388.0,152488.0,26474.0,2668.0,291.0,1
65,65,66,1,2833181639,30,a friend shared with a friend that some sharks can glow in the dark,0,2,773587.0,279571.0,16917.0,3617.0,1331.0,1
66,66,67,1,8560734678,26,a friend shared with a friend that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,0,2,71676.0,45324.0,6977.0,503.0,258.0,1
67,67,68,1,6496578100,55,a friend shared with a friend that sputnik was the first artificial satellite in space,0,3,663764.0,113266.0,31512.0,2325.0,564.0,1
68,68,69,1,3916624482,31,a friend shared with a friend that neptune radiates more heat than it gets from the sun,0,2,170467.0,86546.0,19813.0,721.0,447.0,1
69,69,70,1,5342027952,5,a friend shared with a friend that a day on mars is about the same length as on earth,0,2,988418.0,344391.0,78618.0,239.0,22.0,1
70,70,71,1,7417954522,27,a friend shared with a friend that there’s a planet made of diamonds two times the size of earth,0,1,345192.0,63925.0,7783.0,99.0,57.0,1
71,71,72,1,9903088754,43,a friend shared with a friend that there is a world championship for throwing mobile phones,0,1,755590.0,128952.0,25210.0,1750.0,498.0,1
72,72,73,1,5423860831,48,a friend shared with a friend that avocados never ripen while they are still attached to the tree,0,2,611144.0,46826.0,12186.0,503.0,44.0,1
73,73,74,1,3679640007,34,a friend shared with a friend that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,0,1,929654.0,616498.0,97225.0,588.0,176.0,1
74,74,75,1,5979401954,7,a friend shared with a friend that humans can’t taste food without saliva,0,1,208229.0,115949.0,2253.0,2058.0,149.0,1
75,75,76,1,2473723793,17,a friend shared with a friend that the eiffel tower leans away from the sun,0,3,248398.0,139777.0,17309.0,1639.0,209.0,1
76,76,77,1,2342638585,31,a friend shared with a friend that only one-fourth of the sahara desert is sandy,1,1,677288.0,214708.0,66446.0,2167.0,1428.0,1
77,77,78,1,7486721746,8,a friend shared with a friend that the french scrabble world champion winner doesn’t speak french,0,2,726718.0,241278.0,28762.0,1233.0,87.0,1
78,78,79,1,3780164260,13,a friend shared with a friend that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,0,2,857998.0,468810.0,183219.0,5830.0,2431.0,1
79,79,80,1,8352128964,48,a friend shared with a friend that it is physically impossible for humans to keep their eyes open while sneezing,0,1,589041.0,144226.0,51973.0,3362.0,1597.0,1
80,80,81,1,1925338598,31,a friend shared with a friend that pineapples are named after pinecones,0,1,604898.0,288298.0,95777.0,3225.0,899.0,1
81,81,82,1,3791068995,20,a friend shared with a friend that losing weight alters brain activity,0,2,737901.0,205717.0,4645.0,666.0,12.0,1
82,82,83,1,6404484639,56,a friend shared with a friend that your fingernails on your dominant hand grow faster,0,2,680252.0,177711.0,1946.0,3223.0,9.0,1
83,83,84,1,1403965706,31,a friend shared with a friend that playing dance music helps ward off mosquitoes,0,2,250243.0,45005.0,9872.0,705.0,240.0,1
84,84,85,1,2675430150,28,a friend shared with a friend that mice typically only live for 6 months in the wild,0,1,5279.0,2670.0,16.0,12.0,7.0,1
85,85,86,1,8975962413,37,a friend shared with a friend that the dwarf planet pluto was named by an 11-year-old girl,0,1,364943.0,212815.0,6149.0,906.0,4.0,1
86,86,87,1,4966288323,51,a friend shared with a friend that the insect population of the world is 1 billion times more than the world population,0,3,865320.0,139937.0,49470.0,2574.0,1504.0,1
87,87,88,1,4219642346,51,a friend shared with a friend that the human brain uses 20% of the body's oxygen,0,1,874793.0,306997.0,29763.0,5262.0,2006.0,1
88,88,89,1,9716988521,24,a friend shared with a friend that you can fit about 400 grapevines in one acre of land,0,1,468077.0,194366.0,37758.0,4319.0,131.0,1
89,89,90,1,5774531836,57,a friend shared with a friend that a pineapple plant can only produce one pineapple a year,0,1,539826.0,132637.0,16501.0,444.0,60.0,1
90,90,91,1,6837955665,55,a friend shared with a friend that strawberries are the only known fruit to grow their seeds externally,0,1,309589.0,170284.0,54865.0,2735.0,754.0,1
91,91,92,1,5424962156,39,a friend mentioned someone discovered that nucelear fission is now being used to produce electricity,0,1,572084.0,93187.0,4911.0,1475.0,9.0,1
92,92,93,1,8176623100,26,"a friend mentioned someone discovered that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",0,1,879769.0,107260.0,27447.0,2288.0,1257.0,1
93,93,94,1,5559711920,37,a friend mentioned someone discovered that the rubik's cube is the best-selling product of all time,0,3,436875.0,260329.0,41775.0,4663.0,1947.0,1
94,94,95,1,7401659041,43,a friend mentioned someone discovered that mobile phone use in india is nearly 100%,0,1,501354.0,248235.0,64155.0,3883.0,2110.0,1
95,95,96,1,6570169707,50,a friend mentioned someone discovered that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,0,3,168449.0,90690.0,16615.0,1962.0,383.0,1
96,96,97,1,1386456170,32,a friend mentioned someone discovered that the oldest playable musical instruments were found in china,0,3,200060.0,106959.0,32426.0,2564.0,1500.0,1
97,97,98,1,4415434682,16,a friend mentioned someone discovered that the japanese word ‘karaoke’ comes from a phrase meaning ’empty orchestra’,0,2,423164.0,186423.0,55246.0,2404.0,1430.0,1
98,98,99,1,3490110525,57,a friend mentioned someone discovered that about half of the world's population can access the web via a mobile device,0,2,182650.0,88712.0,28801.0,434.0,95.0,1
99,99,100,1,8089681692,49,a friend mentioned someone discovered that an average user spends 40% of their day on the internet,0,1,195432.0,27339.0,3483.0,433.0,200.0,1
100,100,101,1,8266347544,9,a friend mentioned someone discovered that the average user checks their mobile phone around 150 times each day,0,1,90931.0,51974.0,3568.0,970.0,156.0,1
101,101,102,1,9794898551,43,a friend mentioned someone discovered that 4 of the top 10 highest paid atheletes in the world are players in the american national basketball assocation (nba),0,3,920337.0,567807.0,214550.0,4524.0,2850.0,1
102,102,103,1,6445697344,33,a friend mentioned someone discovered that the first gloves used in american sport baseball were fingerless,0,1,995247.0,505255.0,156842.0,9099.0,3081.0,1
103,103,104,1,3817438444,23,a friend mentioned someone discovered that the concorde was the fastest passenger jet ever,0,3,956314.0,572469.0,154525.0,2902.0,298.0,1
104,104,105,1,9952827704,53,a friend mentioned someone discovered that the busiest airport in the world is in the united states,0,1,328659.0,165642.0,46318.0,337.0,135.0,1
105,105,106,1,7687467484,49,"a friend mentioned someone discovered that london, england has the world's oldest subway system",1,2,631075.0,284311.0,97442.0,1163.0,354.0,1
106,106,107,1,7222903379,60,a friend mentioned someone discovered that dragonflies can see in all directions at the same time,0,2,228358.0,19295.0,2332.0,270.0,35.0,1
107,107,108,1,5923572459,51,a friend mentioned someone discovered that koalas sleep up to 22 hours per day,0,1,276059.0,97689.0,38967.0,2376.0,507.0,1
108,108,109,1,2944539454,53,a friend mentioned someone discovered that the volcano olympus mons on mars is over 3 times taller than mount everest,0,3,351066.0,58438.0,19119.0,39.0,0.0,1
109,109,110,1,6645515132,41,a friend mentioned someone discovered that saturn is less dense than water,0,2,530697.0,30862.0,8161.0,278.0,166.0,1
110,110,111,1,3984935056,49,a friend mentioned someone discovered that sound actually travels in space,0,1,2883.0,1242.0,348.0,11.0,2.0,1
111,111,112,1,3573642153,56,a friend mentioned someone discovered that a single day on venus takes 243 earth days,0,1,426268.0,155933.0,50782.0,3414.0,1935.0,1
112,112,113,1,2507142098,11,a friend mentioned someone discovered that evidence from seymour island suggest that penguins were once 6 ft tall,0,2,660561.0,322446.0,120347.0,5519.0,3449.0,1
113,113,114,1,4025589908,40,a friend mentioned someone discovered that the scottish were the first people to fry chicken,0,1,150706.0,72838.0,9413.0,454.0,1.0,1
114,114,115,1,7041087617,47,a friend mentioned someone discovered that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,0,1,965051.0,567073.0,67201.0,3940.0,2550.0,1
115,115,116,1,7373606171,24,a friend mentioned someone discovered that j is the only letter that doesn’t appear on the periodic table of elements,0,2,311719.0,71173.0,6362.0,496.0,163.0,1
116,116,117,1,1256736154,50,a friend mentioned someone discovered that the tallest tower of cupcakes ever made was over 35 feet,0,1,56142.0,27239.0,1540.0,390.0,172.0,1
117,117,118,1,2115386652,48,a friend mentioned someone discovered that bees can fly higher than mount everest,1,1,915553.0,272536.0,78299.0,7.0,3.0,1
118,118,119,1,9082277974,20,a friend mentioned someone discovered that cold water is just as cleansing as hot water,0,1,593281.0,332025.0,103892.0,7769.0,2486.0,1
119,119,120,1,9850813380,59,a friend mentioned someone discovered that more people speak english as their second language than those who use it as their primary language,0,3,169697.0,12958.0,589.0,314.0,120.0,1
120,120,121,1,6559389686,53,a friend mentioned someone discovered that triskaidekaphobia is the fear of the number 13,0,1,812513.0,523168.0,20023.0,7565.0,2809.0,1
121,121,122,1,5597300051,34,a friend mentioned someone discovered that your fingernails on your dominant hand grow faster,0,1,743385.0,414665.0,52389.0,1427.0,107.0,1
122,122,123,1,5066246380,58,a friend mentioned someone discovered that apple seeds contain cyanide,0,1,726835.0,293637.0,31598.0,3868.0,1854.0,1
123,123,124,1,9463149535,43,a friend mentioned someone discovered that frigate birds can sleep while flying,0,1,950500.0,146636.0,25913.0,1956.0,956.0,1
124,124,125,1,6028042493,38,a friend reported someone discovered that humans will live on mars by 2035,0,3,25771.0,4775.0,1771.0,77.0,26.0,1
125,125,126,1,2102557699,35,a friend reported someone discovered that we will all fly with individual jetpacks by 2032,0,3,660194.0,349323.0,30579.0,7102.0,1335.0,1
126,126,127,1,2818218055,50,a friend reported someone discovered that earth days are getting longer over time due to orbital expansion,0,1,848448.0,207258.0,56105.0,3272.0,275.0,1
127,127,128,1,9826381124,18,a friend reported someone discovered that seventy percent of small businesses are owned and operated by a single person.,0,3,56312.0,36854.0,6211.0,512.0,254.0,1
128,128,129,1,7164433838,10,a friend reported someone discovered that more businesses will be owned by women than men by 2045,0,2,263806.0,8528.0,2373.0,27.0,10.0,1
129,129,130,1,1474103260,19,a friend reported someone discovered that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,0,1,951464.0,365819.0,101090.0,752.0,387.0,1
130,130,131,1,3188060641,40,a friend reported someone discovered that 1 billion cars are currently in use around the world,0,1,907591.0,291689.0,65458.0,1736.0,853.0,1
131,131,132,1,2312282712,40,a friend reported someone discovered that it would take less than a month to get to the moon by car at 60mph,0,1,285004.0,33069.0,11653.0,572.0,71.0,1
132,132,133,1,8045719558,40,a friend reported someone discovered that the car radio was first introduced in 1922,0,1,611518.0,43431.0,8890.0,196.0,45.0,1
133,133,134,1,6287699512,18,a friend reported someone discovered that the harmonica is the best selling musical instrument,0,3,227262.0,34194.0,565.0,456.0,74.0,1
134,134,135,1,7194264172,59,a friend reported someone discovered that 90% of the world’s data was generated after 2019,0,1,216296.0,92543.0,22041.0,270.0,70.0,1
135,135,136,1,9514639653,34,a friend reported someone discovered that over 60% of the world's population has access to the internet,0,1,714428.0,445887.0,67205.0,5983.0,2559.0,1
136,136,137,1,2868422477,22,a friend reported someone discovered that singapore has the fastest internet connectivity in the world.,0,1,915340.0,459193.0,53596.0,7729.0,1440.0,1
137,137,138,1,7413726543,29,a friend reported someone discovered that half of retail purchases are now made through a mobile device,0,1,830574.0,424374.0,150314.0,7366.0,2892.0,1
138,138,139,1,7852597291,48,a friend reported someone discovered that the world generates 2.5 quintillion bytes of data every day,0,1,42647.0,17703.0,5027.0,375.0,155.0,1
139,139,140,1,2516528160,60,a friend reported someone discovered that 1 in 3 people have never used the internet,0,1,697308.0,190336.0,65540.0,3019.0,1572.0,1
140,140,141,1,6296788623,16,"a friend reported someone discovered that shanghai, china has the world's longest subway system",1,1,775229.0,42657.0,1636.0,835.0,247.0,1
141,141,142,1,7640548534,26,a friend reported someone discovered that a dog’s sense of smell is much more powerful than a human's,0,1,242727.0,4464.0,620.0,62.0,26.0,1
142,142,143,1,5715784279,12,a friend reported someone discovered that dragonflies can see in all directions at the same time,0,1,64994.0,37401.0,4768.0,246.0,100.0,1
143,143,144,1,2099433738,15,a friend reported someone discovered that koalas sleep up to 22 hours per day,0,1,338032.0,174028.0,58508.0,3167.0,834.0,1
144,144,145,1,5893807380,26,a friend reported someone discovered that it snows metal and rains acid on venus,0,1,405315.0,241311.0,12754.0,5667.0,1200.0,1
145,145,146,1,6710546869,28,a friend reported someone discovered that the sun takes over one earth month to make a full rotation,0,1,443793.0,62808.0,18380.0,671.0,251.0,1
146,146,147,1,7688135507,23,a friend reported someone discovered that it takes an average of 364 licks to get to the center of a lollipop,0,1,754822.0,441008.0,28597.0,7603.0,4094.0,1
147,147,148,1,4617688188,20,a friend reported someone discovered that there is a world championship for throwing mobile phones,0,1,612397.0,69987.0,27953.0,910.0,606.0,1
148,148,149,1,2934930612,50,a friend reported someone discovered that take out restaurants have been found in the remains of pompeii,0,1,998792.0,151348.0,48830.0,2843.0,1301.0,1
149,149,150,1,7850604311,51,a friend reported someone discovered that captive ravens can speak better than parrots,0,3,765069.0,301210.0,66991.0,278.0,156.0,1
150,150,151,1,8919589653,54,a friend reported someone discovered that the scottish were the first people to fry chicken,0,1,112830.0,38543.0,526.0,107.0,3.0,1
151,151,152,1,9072252537,23,a friend reported someone discovered that elephants will console each other during stressful situations,0,1,762699.0,352035.0,26264.0,7098.0,458.0,1
152,152,153,1,2073671797,24,a friend reported someone discovered that avocados never ripen while they are still attached to the tree,0,1,645348.0,25962.0,6713.0,211.0,44.0,1
153,153,154,1,8269228783,16,a friend reported someone discovered that the brain is the fattiest organ in the body,0,1,379005.0,204577.0,49432.0,2862.0,1858.0,1
154,154,155,1,3576462449,15,a friend reported someone discovered that humans can’t taste food without saliva,0,1,894337.0,129925.0,3678.0,1010.0,304.0,1
155,155,156,1,5054812105,58,a friend reported someone discovered that the netherlands is home to the population of tallest humans on earth,0,1,712536.0,216805.0,47945.0,4486.0,1734.0,1
156,156,157,1,2731216926,9,a friend reported someone discovered that new zealanders have more pets per household than any other country,0,2,148492.0,70227.0,14962.0,1264.0,841.0,1
157,157,158,1,8587085648,33,a friend reported someone discovered that q' is the only letter that doesn’t appear in any u.s. state name,0,1,433310.0,102440.0,34276.0,1753.0,1030.0,1
158,158,159,1,8080736770,50,"a friend reported someone discovered that blue whales eat 500,000 calories in 1 mouthful on average",0,1,649471.0,317456.0,42349.0,1072.0,46.0,1
159,159,160,1,3424864755,5,a friend reported someone discovered that humans have jumped further than horses in the olympics,0,2,40208.0,8018.0,1029.0,16.0,0.0,1
160,160,161,1,2188053512,38,a friend reported someone discovered that the first commercial airplane flight lasted 23 minutes,0,1,346555.0,70156.0,12343.0,605.0,94.0,1
161,161,162,1,3210888500,20,a friend reported someone discovered that 170-year-old champagne was found under the baltic sea,0,1,812447.0,343371.0,79962.0,3608.0,528.0,1
162,162,163,1,6425710834,6,a friend reported someone discovered that x-rays can’t distinguish real diamonds from fake ones,0,2,391812.0,30875.0,1706.0,165.0,76.0,1
163,163,164,1,9742572710,28,a friend reported someone discovered that the continental tectonic plates move at the same rate that fingernails grow,0,3,468758.0,78841.0,12464.0,1271.0,681.0,1
164,164,165,1,5127402473,35,a friend reported someone discovered that driving south from detroit will lead to canada,0,1,642888.0,21908.0,7009.0,412.0,122.0,1
165,165,166,1,2042520713,35,a friend reported someone discovered that more people speak english as their second language than those who use it as their primary language,0,3,633270.0,6077.0,1018.0,101.0,60.0,1
166,166,167,1,9561409967,17,a friend reported someone discovered that triskaidekaphobia is the fear of the number 13,0,3,734203.0,296340.0,112802.0,6795.0,2745.0,1
167,167,168,1,8435751140,44,a friend reported someone discovered that the opposite sides of dice will always equal 7,0,1,939399.0,144236.0,31119.0,906.0,104.0,1
168,168,169,1,2990741745,8,a friend reported someone discovered that bananas get their curved shape by growing towards the sun,0,1,494881.0,32805.0,8934.0,534.0,198.0,1
169,169,170,1,6722335625,27,a friend reported someone discovered that frigate birds can sleep while flying,1,1,886215.0,521651.0,114330.0,10943.0,4219.0,1
170,170,171,1,7746498271,47,a friend reported someone discovered that the chicken is the closest relative to the t-rex,1,3,648343.0,233325.0,66078.0,4728.0,2122.0,1
171,171,172,1,8739148209,12,a friend reported someone discovered that violin bows are made from horsehair,0,3,56430.0,34026.0,4691.0,0.0,0.0,1
172,172,173,1,5498164986,42,a friend reported someone discovered that the largest living thing on earth is a tree,0,1,558866.0,187629.0,15527.0,4493.0,2012.0,1
173,173,174,1,3936574703,36,a friend reported someone discovered that the moon is moving away from the earth,0,1,91199.0,28946.0,3171.0,115.0,59.0,1
174,174,175,1,2604259933,25,a friend reported someone discovered that a pineapple plant can only produce one pineapple a year,0,1,788517.0,307605.0,9543.0,4832.0,2067.0,1
175,175,176,1,1608107038,45,a friend reported someone discovered that china is the world’s largest silk producer,0,1,115622.0,56824.0,13342.0,817.0,373.0,1
176,176,177,1,2727382715,36,a friend reported someone discovered that redwoods are the tallest trees,0,1,36741.0,4541.0,49.0,38.0,23.0,1
177,177,178,1,5902155661,23,a friend told me someone discovered that humans will live on mars by 2035,0,1,417233.0,217824.0,34725.0,357.0,66.0,1
178,178,179,1,9213366701,16,a friend told me someone discovered that drone deliveries are already happening and will become common by 2025,0,1,509376.0,153342.0,34764.0,2281.0,1318.0,1
179,179,180,1,8842246310,52,a friend told me someone discovered that earth days are getting longer over time due to orbital expansion,1,1,993601.0,360808.0,123543.0,2648.0,1377.0,1
180,180,181,1,6889169972,29,a friend told me someone discovered that 20% of the world's oxygen is produced in the amazon jungles,0,1,511307.0,271981.0,20832.0,6673.0,2467.0,1
181,181,182,1,7804864557,32,a friend told me someone discovered that there are about 582 million entrepreneurs in the world,0,2,518655.0,105148.0,40590.0,1367.0,502.0,1
182,182,183,1,4823187644,59,a friend told me someone discovered that the highest total mileage clocked by a single car is 2850000 million miles,0,3,268145.0,112600.0,14468.0,2719.0,106.0,1
183,183,184,1,9335708424,45,a friend told me someone discovered that violins are constructed from 70 individual wooden pieces,0,2,862840.0,435872.0,93125.0,1459.0,746.0,1
184,184,185,1,7766705565,24,a friend told me someone discovered that the musical artist prince played 27 different instruments on his debut album,0,1,244746.0,15130.0,2944.0,180.0,62.0,1
185,185,186,1,4696899899,37,a friend told me someone discovered that it would take a 50 petabyte drive to store every written work ever created,0,1,210960.0,115814.0,36974.0,1855.0,467.0,1
